Codigo	Nombre	Tipo	Naturaleza	Descripcion	EsDetalle	TipoEstado
1010503	ANTICIPO DE IMPUESTO A LA RENTA	asset	debit	ANTICIPO DE IMPUESTO A LA RENTA	1	1
10106	ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS	asset	debit	ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA Y OPERACIONES DISCONTINUADAS	1	1
10107	CONSTRUCCIONES EN PROCESO (NIC 11 Y SECC.23 PYMES)	asset	debit	CONSTRUCCIONES EN PROCESO (NIC 11 Y SECC.23 PYMES)	1	1
10108	OTROS ACTIVOS CORRIENTES	asset	debit	OTROS ACTIVOS CORRIENTES	1	1
102	ACTIVO NO CORRIENTE	asset	debit	ACTIVO NO CORRIENTE	0	1
10201	PROPIEDADES, PLANTA Y EQUIPO	asset	debit	PROPIEDADES, PLANTA Y EQUIPO	0	1
1020101	TERRENOS	asset	debit	TERRENOS	1	1
1020102	EDIFICIOS	asset	debit	EDIFICIOS	1	1
1020103	CONTRUCCIONES EN CURSO	asset	debit	CONTRUCCIONES EN CURSO	1	1
1020104	INSTALACIONES	asset	debit	INSTALACIONES	1	1
1020105	MUEBLES Y ENSERES	asset	debit	MUEBLES Y ENSERES	1	1
1020106	MAQUINARIA Y EQUIPO	asset	debit	MAQUINARIA Y EQUIPO	1	1
1020107	NAVES, AERONAVES, BARCAZAS Y SIMILARES	asset	debit	NAVES, AERONAVES, BARCAZAS Y SIMILARES	1	1
1020108	EQUIPO DE COMPUTACIÓN	asset	debit	EQUIPO DE COMPUTACIÓN	1	1
1020109	VEHÍCULOS, EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL	asset	debit	VEHÍCULOS, EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MÓVIL	1	1
1020110	OTROS PROPIEDADES, PLANTA Y EQUIPO	asset	debit	OTROS PROPIEDADES, PLANTA Y EQUIPO	1	1
1020111	REPUESTOS Y HERRAMIENTAS	asset	debit	REPUESTOS Y HERRAMIENTAS	1	1
1020112	(-) DEPRECIACIÓN ACUMULADA PROPIEDADES, PLANTA Y EQUIPO	asset	credit	(-) DEPRECIACIÓN ACUMULADA PROPIEDADES, PLANTA Y EQUIPO	1	1
1020113	(-) DETERIORO ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO	asset	credit	(-) DETERIORO ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO	1	1
1020114	ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN	asset	debit	ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN	0	1
102011401	ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN	asset	debit	ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN	1	1
102011402	(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS DE EXLORACIÓN Y EXPLOTACIÓN	asset	credit	(-) AMORTIZACIÓN ACUMULADA DE ACTIVOS DE EXLORACIÓN Y EXPLOTACIÓN	1	1
102011403	(-) DETERIORO ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN	asset	credit	(-) DETERIORO ACUMULADO DE ACTIVOS DE EXPLORACIÓN Y EXPLOTACIÓN	1	1
10202	PROPIEDADES DE INVERSIÓN	asset	debit	PROPIEDADES DE INVERSIÓN	0	1
1020201	TERRENOS	asset	debit	TERRENOS	1	1
1020202	EDIFICIOS	asset	debit	EDIFICIOS	1	1
1020203	(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN	asset	credit	(-) DEPRECIACION ACUMULADA DE PROPIEDADES DE INVERSIÓN	1	1
1020204	(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN	asset	credit	(-) DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN	1	1
10203	ACTIVOS BIOLOGICOS	asset	debit	ACTIVOS BIOLOGICOS	0	1
1020301	ANIMALES VIVOS EN CRECIMIENTO	asset	debit	ANIMALES VIVOS EN CRECIMIENTO	1	1
1020302	ANIMALES VIVOS EN PRODUCCIÓN	asset	debit	ANIMALES VIVOS EN PRODUCCIÓN	1	1
1020303	PLANTAS EN CRECIMIENTO	asset	debit	PLANTAS EN CRECIMIENTO	1	1
1020304	PLANTAS EN PRODUCCIÓN	asset	debit	PLANTAS EN PRODUCCIÓN	1	1
1020305	(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS BIOLÓGICOS	asset	credit	(-) DEPRECIACIÓN ACUMULADA DE ACTIVOS BIOLÓGICOS	1	1
1020306	(-) DETERIORO ACUMULADO DE ACTIVOS BIOLÓGICOS	asset	credit	(-) DETERIORO ACUMULADO DE ACTIVOS BIOLÓGICOS	1	1
10204	ACTIVO INTANGIBLE	asset	debit	ACTIVO INTANGIBLE	0	1
1020401	PLUSVALÍAS	asset	debit	PLUSVALÍAS	1	1
1020402	MARCAS, PATENTES, DERECHOS DE LLAVE, CUOTAS PATRIMONIALES Y OTROS SIMILARES	asset	debit	MARCAS, PATENTES, DERECHOS DE LLAVE, CUOTAS PATRIMONIALES Y OTROS SIMILARES	1	1
1020403	ACTIVOS DE EXPLORACION Y EXPLOTACION	asset	debit	ACTIVOS DE EXPLORACION Y EXPLOTACION	1	1
1020404	(-) AMORTIZACIÓN ACUMULADA DE ACTIVO INTANGIBLE	asset	credit	(-) AMORTIZACIÓN ACUMULADA DE ACTIVO INTANGIBLE	1	1
1020405	(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE	asset	credit	(-) DETERIORO ACUMULADO DE ACTIVO INTANGIBLE	1	1
1020406	OTROS INTANGIBLES	asset	debit	OTROS INTANGIBLES	1	1
10205	ACTIVOS POR IMPUESTOS DIFERIDOS	asset	debit	ACTIVOS POR IMPUESTOS DIFERIDOS	1	1
10206	ACTIVOS FINANCIEROS NO CORRIENTES	asset	debit	ACTIVOS FINANCIEROS NO CORRIENTES	0	1
1020601	ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO	asset	debit	ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO	1	1
1020602	(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO	asset	credit	(-) PROVISIÓN POR DETERIORO DE ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO	1	1
1020603	DOCUMENTOS Y CUENTAS POR COBRAR	asset	debit	DOCUMENTOS Y CUENTAS POR COBRAR	1	1
1020604	(-) PROVISIÓN CUENTAS INCOBRABLES DE ACTIVOS FINANCIEROS NO CORRIENTES	asset	credit	(-) PROVISIÓN CUENTAS INCOBRABLES DE ACTIVOS FINANCIEROS NO CORRIENTES	1	1
10207	OTROS ACTIVOS NO CORRIENTES	asset	debit	OTROS ACTIVOS NO CORRIENTES	0	1
1020701	INVERSIONES SUBSIDIARIAS	asset	debit	INVERSIONES SUBSIDIARIAS	1	1
1020702	INVERSIONES ASOCIADAS	asset	debit	INVERSIONES ASOCIADAS	1	1
1020703	INVERSIONES NEGOCIOS CONJUNTOS	asset	debit	INVERSIONES NEGOCIOS CONJUNTOS	1	1
1020704	OTRAS INVERSIONES	asset	debit	OTRAS INVERSIONES	1	1
1020705	(-) PROVISIÓN VALUACIÓN DE INVERSIONES	asset	credit	(-) PROVISIÓN VALUACIÓN DE INVERSIONES	1	1
